City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
247,Tarabuco,BO,2021-03-27 18:55:06,-19.1667,-64.9167,54.55,69,100,5.64
248,Kaputa,ZM,2021-03-27 18:55:07,-8.4689,29.6619,68.16,88,74,4.21
249,Sorland,NO,2021-03-27 18:55:07,67.667,12.6934,38.73,93,100,29.39
250,Muros,ES,2021-03-27 18:55:08,42.7762,-9.0603,57.99,67,0,6.91
251,Guerrero Negro,MX,2021-03-27 18:55:09,27.9769,-114.0611,69.94,33,0,7.45
252,Dikson,RU,2021-03-27 18:55:09,73.5069,80.5464,-18.98,100,99,7.74
253,Nacimiento,CL,2021-03-27 18:55:10,-37.5,-72.6667,80.6,28,0,12.66
254,Ibanda,TZ,2021-03-27 18:55:10,-2.7974,32.4746,66.2,94,20,7.45
255,Kodiak,US,2021-03-27 18:52:32,57.79,-152.4072,32.0,43,1,18.41
256,Whitehorse,CA,2021-03-27 18:55:11,60.7161,-135.0538,27.0,80,75,6.91
257,Sangar,RU,2021-03-27 18:55:13,63.9242,127.4739,12.49,96,100,4.07
258,Sakaiminato,JP,2021-03-27 18:55:01,35.55,133.2333,60.8,63,90,14.97
259,Kawalu,ID,2021-03-27 18:55:14,-7.3817,108.2082,72.91,95,99,1.39
260,Mogadishu,SO,2021-03-27 18:55:15,2.0371,45.3438,80.8,84,100,17.45
261,Puerto Maldonado,PE,2021-03-27 18:55:15,-12.6,-69.1833,77.0,94,75,3.44
262,Klaksvik,FO,2021-03-27 18:55:16,62.2266,-6.589,39.2,93,90,25.32
263,Jati,PK,2021-03-27 18:55:16,24.3539,68.2671,79.63,51,37,12.93
264,Sinnamary,GF,2021-03-27 18:55:16,5.3833,-52.95,80.89,77,85,11.32
265,College,US,2021-03-27 18:55:16,64.8569,-147.8028,19.99,79,90,1.92
266,Chiredzi,ZW,2021-03-27 18:55:17,-21.05,31.6667,73.89,40,0,4.88
267,Brae,GB,2021-03-27 18:55:17,60.3964,-1.353,42.8,75,20,17.27
268,Upernavik,GL,2021-03-27 18:55:18,72.7868,-56.1549,-22.31,81,17,4.25
269,Carnot,CF,2021-03-27 18:55:19,4.9409,15.8665,78.3,59,68,1.86
270,Nara,JP,2021-03-27 18:54:24,34.6851,135.8049,59.0,54,100,3.4
271,Touros,BR,2021-03-27 18:55:21,-5.1989,-35.4608,82.4,78,75,10.36
272,Chuka,KE,2021-03-27 18:55:22,-0.3332,37.6459,66.27,61,100,4.45
273,Berlevag,NO,2021-03-27 18:55:24,70.8578,29.0864,36.68,85,100,17.07
274,Ahipara,NZ,2021-03-27 18:55:25,-35.1667,173.1667,65.79,90,100,12.28
275,Male,MV,2021-03-27 18:55:25,4.1748,73.5089,82.4,83,75,4.61
276,Abnub,EG,2021-03-27 18:55:26,27.2696,31.1511,59.0,47,0,18.41
277,Moranbah,AU,2021-03-27 18:55:27,-22.0016,148.0466,70.27,82,0,7.45
278,Natal,BR,2021-03-27 18:51:46,-5.795,-35.2094,82.4,78,40,9.22
279,Aktash,RU,2021-03-27 18:55:29,50.3,87.7333,6.73,82,4,3.38
280,Omboue,GA,2021-03-27 18:55:29,-1.5746,9.2618,79.3,84,97,2.86
281,Guymon,US,2021-03-27 18:55:30,36.6828,-101.4816,57.2,41,1,21.85
282,Toora-Khem,RU,2021-03-27 18:55:30,52.4675,96.11,13.73,96,61,1.86
283,Andenes,NO,2021-03-27 18:55:30,69.3143,16.1194,37.99,87,75,8.05
284,Belyy Yar,RU,2021-03-27 18:55:30,53.6039,91.3903,24.8,86,100,4.47
285,Alice Springs,AU,2021-03-27 18:54:54,-23.7,133.8833,69.8,73,17,5.75
286,Itarantim,BR,2021-03-27 18:55:31,-15.6597,-40.0656,93.58,25,1,7.63
287,Guaraniacu,BR,2021-03-27 18:55:31,-25.1008,-52.8781,78.57,61,100,4.27
288,Sunland Park,US,2021-03-27 18:55:32,31.7965,-106.58,62.6,35,75,18.41
289,Grindavik,IS,2021-03-27 18:50:36,63.8424,-22.4338,30.2,86,90,41.43
290,Sola,VU,2021-03-27 18:55:33,-13.8833,167.55,82.65,75,61,15.5
291,Emirdag,TR,2021-03-27 18:55:34,39.0197,31.15,36.12,71,6,2.59
292,Katsuura,JP,2021-03-27 18:53:01,35.1333,140.3,62.01,72,100,3.0
293,Billings,US,2021-03-27 18:55:34,45.7833,-108.5007,48.99,46,90,10.36
