City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
646,Alice Springs,AU,69.8,clear sky,-23.7,133.8833,Desert Palms Alice Springs
648,Puerto Madryn,AR,64.36,broken clouds,-42.7692,-65.0385,Hotel Tolosa
651,Khorramshahr,IR,60.8,few clouds,30.4397,48.1664,دفتر نمایندگی شرکت بازاریابان ایرانیان زمینBIZ
652,Vao,NC,77.63,few clouds,-22.6667,167.4833,Hotel Kou-Bugny
654,Bridgetown,BB,77.0,scattered clouds,13.1,-59.6167,Hilton Barbados Resort
655,Abha,SA,62.6,clear sky,18.2164,42.5053,Abha Hotel
657,Jucurutu,BR,77.72,broken clouds,-6.0339,-37.0203,Pousada Miike
660,Los Llanos De Aridane,ES,64.4,scattered clouds,28.6585,-17.9182,Valle Aridane
661,Quatre Cocos,MU,77.0,few clouds,-20.2078,57.7625,Emeraude Beach Attitude Hotel
662,Axim,GH,79.07,clear sky,4.8699,-2.2405,AXIM BEACH RESORT AND SPA
663,Akyab,MM,77.16,overcast clouds,20.15,92.9,Hotel Memory
667,Diamantino,BR,77.02,scattered clouds,-14.4086,-56.4461,Hotel Delta
668,Kaiyuan,CN,61.72,few clouds,23.6977,103.3037,Dongqi Hotel
670,Flinders,AU,64.99,clear sky,-34.5833,150.8552,Shellharbour Resort & Conference Centre
671,Bogande,BF,78.75,clear sky,12.9714,-0.1436,Auberge Wendkouni
672,Coquimbo,CL,60.8,clear sky,-29.9533,-71.3436,Punto de encuentro
676,Matamoros,MX,78.8,broken clouds,25.5333,-103.25,Quinta Belem
679,Solwezi,ZM,60.04,overcast clouds,-12.1688,26.3894,Country Lodge Solwezi
680,Asilah,MA,62.6,clear sky,35.465,-6.0348,Hotel Zelis
685,San Carlos De Bariloche,AR,77.0,clear sky,-41.1456,-71.3082,Hotel Patagonia
686,San Luis,AR,61.16,clear sky,-33.295,-66.3356,Huarpes Hotel
687,Assiniboia,CA,60.8,overcast clouds,49.6334,-105.9845,Canalta Hotel Assiniboia
694,Garowe,SO,72.5,broken clouds,8.4054,48.4845,Curubo Hotel
699,Ambon,ID,77.0,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
700,Nelson Bay,AU,69.8,scattered clouds,-32.7167,152.15,Mantra Nelson Bay
709,Tamandare,BR,78.67,overcast clouds,-8.7597,-35.1047,Pousada 100 Passos
711,Bac Lieu,VN,78.76,broken clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
